	otus	S2441YD	S2441YG	S2442YD	S2442YG	S2443YD	S2443YG	S2444YD	S2444YG	S2445YD	S2445YG	S2446YD	S2447YD	S2447YG	S2451YD	S2451YG	S2452YD	S2452YG	S2453YD	S2453YG	S2454YD	S2455YD	S2455YG	S2456YD	S2456YG	S2457YD	S2461YD	S2461YG	S2462YD	S2462YG	S2463YD	S2463YG	S2464YD	S2464YG	S2465YD	S2465YG	S2466YD	S2466YG	S2467YD	S2467YG	taxa	staxa
1	otu2	5.05122e-05	7.96797e-05	0.0003203157	0.000685555	0.000245681	0.0007090913	0.0001178862	9.85124e-05	0.0002206479	0.000224408	0.0001607002	3.40773e-05	9.60903e-05	2.73756e-05	6.46617e-05	0.0004411282	0.0004120639	5.86371e-05	0.0001610313	0	5.45125e-05	0.0001822567	0	9.42406e-05	0.0002446723	0	0	2.38758e-05	3.8858e-05	4.0355e-05	5.3373e-05	0	0	0	0.0001187748	3.15415e-05	0	0	3.48708e-05	CRT	RT
2	otu5	0	0	0	0	0	0	0	0	0	0	4.9671e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42604e-05	0	0	0	0	0	3.93734e-05	0	0	ART	RT
3	otu8	0	0	3.20316e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.91346e-05	0	0	0	0	0	0	8.83505e-05	0	0	3.05541e-05	0	0	3.17075e-05	0	0	0	0	0	0	4.72481e-05	0	0	ART	RT
4	otu10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.29576e-05	0	0	0	0	0	0	ART	RT
5	otu13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.17055e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ART	RT
6	otu14	0	0	0	0	0	0	0	0	4.0735e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ART	RT
7	otu19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001236907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CRT	RT
8	otu21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002061512	0	0	4.58311e-05	0	0	0	0	0	0	0	0	0	0	0	0	CRT	RT
9	otu24	0	0	0	0	0	4.96072e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002297114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CRT	RT
10	otu31	0	0	0	0	0	0	0	0	0	0	0.0001256384	0	0	0	0	0	0	0	0	0	0	0	0	0.000176701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CRT	RT
