Source,Target,Type,Id,Label,timeset,Weight,correlation
otu8,otu3974,Undirected,0,,,0.98995,0.98995
otu8,otu4380,Undirected,1,,,0.98995,0.98995
otu47,otu468,Undirected,2,,,0.98995,0.98995
otu47,otu973,Undirected,3,,,0.98995,0.98995
otu47,otu1147,Undirected,4,,,0.98995,0.98995
otu47,otu1236,Undirected,5,,,0.98995,0.98995
otu47,otu1287,Undirected,6,,,0.98995,0.98995
otu47,otu1345,Undirected,7,,,0.98995,0.98995
otu47,otu1837,Undirected,8,,,0.98995,0.98995
otu47,otu2050,Undirected,9,,,0.98995,0.98995
otu47,otu2126,Undirected,10,,,0.98995,0.98995
otu47,otu2142,Undirected,11,,,0.98995,0.98995
otu47,otu2298,Undirected,12,,,0.98995,0.98995
otu47,otu2735,Undirected,13,,,0.98995,0.98995
otu47,otu2774,Undirected,14,,,0.98995,0.98995
otu47,otu2816,Undirected,15,,,0.98995,0.98995
otu47,otu2839,Undirected,16,,,0.98995,0.98995
otu47,otu3741,Undirected,17,,,0.98995,0.98995
otu47,otu5014,Undirected,18,,,0.98995,0.98995
otu47,otu5061,Undirected,19,,,0.98995,0.98995
otu47,otu5119,Undirected,20,,,0.98995,0.98995
otu47,otu5678,Undirected,21,,,0.98995,0.98995
otu47,otu5717,Undirected,22,,,0.98995,0.98995
otu47,otu5941,Undirected,23,,,0.98995,0.98995
otu47,otu6361,Undirected,24,,,0.98995,0.98995
otu47,otu6447,Undirected,25,,,0.98995,0.98995
otu47,otu6672,Undirected,26,,,0.98995,0.98995
otu47,otu6695,Undirected,27,,,0.98995,0.98995
otu47,otu6716,Undirected,28,,,0.98995,0.98995
otu47,otu6804,Undirected,29,,,0.98995,0.98995
otu47,otu8803,Undirected,30,,,0.98995,0.98995
otu47,otu10010,Undirected,31,,,0.98995,0.98995
otu75,otu450,Undirected,32,,,0.991803,0.991803
otu75,otu579,Undirected,33,,,0.991803,0.991803
otu75,otu596,Undirected,34,,,0.991803,0.991803
otu75,otu598,Undirected,35,,,0.991803,0.991803
otu75,otu603,Undirected,36,,,0.991803,0.991803
otu75,otu616,Undirected,37,,,0.991803,0.991803
otu75,otu628,Undirected,38,,,0.991803,0.991803
otu75,otu632,Undirected,39,,,0.991803,0.991803
otu75,otu643,Undirected,40,,,0.991803,0.991803
otu75,otu652,Undirected,41,,,0.991803,0.991803
otu75,otu654,Undirected,42,,,0.991803,0.991803
otu75,otu660,Undirected,43,,,0.991803,0.991803
otu75,otu661,Undirected,44,,,0.991803,0.991803
otu75,otu680,Undirected,45,,,0.991803,0.991803
otu75,otu687,Undirected,46,,,0.991803,0.991803
otu75,otu694,Undirected,47,,,0.991803,0.991803
otu75,otu695,Undirected,48,,,0.991803,0.991803
otu75,otu700,Undirected,49,,,0.991803,0.991803
otu75,otu734,Undirected,50,,,0.991803,0.991803
otu75,otu741,Undirected,51,,,0.991803,0.991803
otu75,otu759,Undirected,52,,,0.991803,0.991803
otu75,otu779,Undirected,53,,,0.991803,0.991803
otu75,otu782,Undirected,54,,,0.991803,0.991803
otu75,otu789,Undirected,55,,,0.991803,0.991803
otu75,otu803,Undirected,56,,,0.991803,0.991803
otu75,otu815,Undirected,57,,,0.991803,0.991803
otu75,otu835,Undirected,58,,,0.991803,0.991803
otu75,otu836,Undirected,59,,,0.991803,0.991803
otu75,otu837,Undirected,60,,,0.991803,0.991803
otu75,otu851,Undirected,61,,,0.991803,0.991803
otu75,otu853,Undirected,62,,,0.991803,0.991803
otu75,otu855,Undirected,63,,,0.991803,0.991803
otu75,otu884,Undirected,64,,,0.991803,0.991803
otu75,otu886,Undirected,65,,,0.991803,0.991803
otu75,otu894,Undirected,66,,,0.991803,0.991803
otu75,otu900,Undirected,67,,,0.991803,0.991803
otu75,otu908,Undirected,68,,,0.991803,0.991803
otu75,otu929,Undirected,69,,,0.991803,0.991803
otu75,otu931,Undirected,70,,,0.991803,0.991803
otu75,otu932,Undirected,71,,,0.991803,0.991803
otu75,otu955,Undirected,72,,,0.991803,0.991803
otu75,otu989,Undirected,73,,,0.991803,0.991803
otu75,otu1038,Undirected,74,,,0.991803,0.991803
otu75,otu1047,Undirected,75,,,0.991803,0.991803
otu75,otu1055,Undirected,76,,,0.991803,0.991803
otu75,otu1065,Undirected,77,,,0.991803,0.991803
otu75,otu1066,Undirected,78,,,0.991803,0.991803
otu75,otu1112,Undirected,79,,,0.991803,0.991803
otu75,otu1156,Undirected,80,,,0.991803,0.991803
otu75,otu1272,Undirected,81,,,0.991803,0.991803
otu75,otu1277,Undirected,82,,,0.991803,0.991803
otu75,otu1575,Undirected,83,,,0.991803,0.991803
otu75,otu1586,Undirected,84,,,0.991803,0.991803
otu75,otu1607,Undirected,85,,,0.991803,0.991803
otu75,otu1616,Undirected,86,,,0.991803,0.991803
otu75,otu1636,Undirected,87,,,0.991803,0.991803
otu75,otu1649,Undirected,88,,,0.991803,0.991803
otu75,otu1677,Undirected,89,,,0.991803,0.991803
otu75,otu1787,Undirected,90,,,0.991803,0.991803
otu75,otu1806,Undirected,91,,,0.991803,0.991803
otu75,otu1814,Undirected,92,,,0.991803,0.991803
otu75,otu1823,Undirected,93,,,0.991803,0.991803
otu75,otu1832,Undirected,94,,,0.991803,0.991803
otu75,otu1835,Undirected,95,,,0.991803,0.991803
otu75,otu1844,Undirected,96,,,0.991803,0.991803
otu75,otu1877,Undirected,97,,,0.991803,0.991803
otu75,otu1885,Undirected,98,,,0.991803,0.991803
otu75,otu1900,Undirected,99,,,0.991803,0.991803
otu75,otu1904,Undirected,100,,,0.991803,0.991803
otu75,otu1909,Undirected,101,,,0.991803,0.991803
otu75,otu1917,Undirected,102,,,0.991803,0.991803
otu75,otu1944,Undirected,103,,,0.991803,0.991803
otu75,otu1947,Undirected,104,,,0.991803,0.991803
otu75,otu1964,Undirected,105,,,0.991803,0.991803
otu75,otu1969,Undirected,106,,,0.991803,0.991803
otu75,otu1986,Undirected,107,,,0.991803,0.991803
otu75,otu2000,Undirected,108,,,0.991803,0.991803
otu75,otu2012,Undirected,109,,,0.991803,0.991803
otu75,otu2048,Undirected,110,,,0.991803,0.991803
otu75,otu2058,Undirected,111,,,0.991803,0.991803
otu75,otu2072,Undirected,112,,,0.991803,0.991803
otu75,otu2085,Undirected,113,,,0.991803,0.991803
otu75,otu2087,Undirected,114,,,0.991803,0.991803
otu75,otu2089,Undirected,115,,,0.991803,0.991803
otu75,otu2090,Undirected,116,,,0.991803,0.991803
otu75,otu2091,Undirected,117,,,0.991803,0.991803
otu75,otu2123,Undirected,118,,,0.991803,0.991803
