name	degree	betweenness_centrality	closeness_centrality	eigenvector_centrality	Abundance	module	z	p	taxa_roles
otu8	3	1901.66666666659	5.41218719836068e-05	6.487213393561e-13	NA	M2	-0.964022479667308	0	Peripheral nodes
otu47	70	676.274920156548	6.9226671798517e-05	6.78511751461961e-08	NA	M2	0.54385087590317	0	Peripheral nodes
otu75	276	798.729325555551	8.77103334370819e-05	0.105873936935734	NA	M3	1.42909181167912	0.049438143247217	Peripheral nodes
otu107	114	1447.9119047619	8.89772197975011e-05	0.122570582566318	NA	M3	-0.708217156778982	0.465373961218837	Peripheral nodes
otu155	72	2081.56779220779	8.45050868113437e-05	0.00115603491510341	NA	M1	-0.722349885379983	0.104938271604938	Peripheral nodes
otu158	70	676.274920156548	6.9226671798517e-05	6.78511751616446e-08	NA	M2	0.54385087590317	0	Peripheral nodes
otu165	276	798.729325555551	8.77103334370819e-05	0.105873936935734	NA	M3	1.42909181167912	0.049438143247217	Peripheral nodes
otu207	6	0.5	0.0647866413651816	3.86212046095127e-18	NA	M12	0.433224288859106	0	Peripheral nodes
otu214	43	571.405405405404	5.82230317162798e-05	7.29323615718612e-10	NA	M2	-0.063799580819261	0	Peripheral nodes
otu278	2	0	4.58487574595743e-05	3.42893537474982e-13	NA	M4	-0.710496104682893	0	Peripheral nodes
otu310	70	676.274920156548	6.9226671798517e-05	6.78511751307476e-08	NA	M2	0.54385087590317	0	Peripheral nodes
otu373	5	3.75	4.23093618742483e-05	1.17601568035966e-15	NA	M4	-0.230451861540464	0	Peripheral nodes
otu379	5	2	5.2756835375834e-05	2.93927913559244e-11	NA	M5	0.185219424361547	0	Peripheral nodes
otu430	149	20980.6125531489	6.57835576230061e-05	2.4074143071657e-08	NA	M2	2.32179110112806	0	Peripheral nodes
otu440	2	4.2	4.22248411383148e-05	2.40416998694216e-15	NA	M2	-0.986528052138509	0	Peripheral nodes
otu450	200	378.07868380191	8.70113690865954e-05	0.0921146418621083	NA	M3	0.626244787994351	0.04875	Peripheral nodes
otu451	369	14315.2927892094	9.91049126092634e-05	0.747733717754853	NA	M1	0.872400350628843	0.226320311983608	Peripheral nodes
otu453	17	8050	8.63283339336891e-05	0.00286293880796033	NA	M1	-1.0438212768284	0	Peripheral nodes
otu466	353	17738.963384476	9.18219776260788e-05	0.32770919103017	NA	M3	1.28805111832909	0.398558691587285	Peripheral nodes
otu468	161	1152.36363636366	6.43765983166663e-05	3.9733648983764e-08	NA	M2	2.59185797078248	0	Module hubs
otu471	45	1702.74242048274	7.43687841165494e-05	0.00390972188006783	NA	M3	-1.00114782758288	0	Peripheral nodes
otu476	32	3235.01229508197	7.43971589323071e-05	0.00435156186901756	NA	M3	-1.14218852093291	0	Peripheral nodes
otu477	18	244.603174603175	5.95893280226874e-05	4.05428810459043e-10	NA	M2	-0.62643889259929	0	Peripheral nodes
otu478	149	26961.4000000002	7.22779733824519e-05	1.54199300288706e-06	NA	M2	2.32179110112806	0	Peripheral nodes
otu482	32	3235.01229508197	7.43971589323071e-05	0.00435156186901757	NA	M3	-1.14218852093291	0	Peripheral nodes
otu483	9	0	5.35094465236209e-05	3.532603416314e-10	NA	M2	-0.828989044840101	0	Peripheral nodes
otu509	215	7529.79745550663	8.99557809082192e-05	0.0510375833634039	NA	M3	0.702189776721289	0.113618171984857	Peripheral nodes
otu512	70	676.274920156548	6.9226671798517e-05	6.78511751307476e-08	NA	M2	0.54385087590317	0	Peripheral nodes
otu517	276	798.729325555551	8.77103334370819e-05	0.105873936935735	NA	M3	1.42909181167912	0.049438143247217	Peripheral nodes
otu519	168	933.750000000002	7.34262423242593e-05	0.0268819457697108	NA	M3	0.333314117190449	0	Peripheral nodes
otu520	2	0	6.71660042446375e-05	1.71799856316626e-06	NA	M1	-1.13837168607794	0	Peripheral nodes
otu522	19	25.5	0.012467822834159	1.93106023047563e-17	NA	M7	1.50090760293801	0	Peripheral nodes
otu523	467	224.803180153179	9.84524158568322e-05	0.94883412107639	NA	M1	1.78638764004102	0.0042734846782736	Peripheral nodes
otu528	276	798.729325555551	8.77103334370819e-05	0.105873936935735	NA	M3	1.42909181167912	0.049438143247217	Peripheral nodes
