name	degree	betweenness_centrality	closeness_centrality	eigenvector_centrality	Abundance	module	z	p	taxa_roles
otu2	3	725	7.00105283382626e-05	0	NA	M16	-1.08685064445048	0.444444444444444	Peripheral nodes
otu68	156	479.024572649573	9.69175800657924e-05	0.170296137762777	NA	M2	-0.661904816703366	0.242274819197896	Peripheral nodes
otu107	16	0	0.00397697749710222	2.03660804926403e-17	NA	M3	-0.363599158222166	0	Peripheral nodes
otu155	2	0.5	4.95164657625757e-05	8.48586687193344e-19	NA	M6	-1.50911141331544	0	Peripheral nodes
otu214	247	2212.90838475062	0.000107383301685412	0.436815602017962	NA	M2	0.229262108810714	0	Peripheral nodes
otu217	26	421.904901960786	8.02111654912855e-05	6.25485779567367e-12	NA	M5	1.3014144336596	0	Peripheral nodes
otu230	19	0	0.0291831646869042	1.35773869950935e-17	NA	M11	0.65174563065025	0	Peripheral nodes
otu235	25	20060.3166666666	8.59402235373483e-05	4.12139477741079e-11	NA	M5	1.20631929031337	0	Peripheral nodes
otu317	29	0	8.44313653999867e-05	0.0103928409251119	NA	M7	0.135036118481369	0.470868014268728	Peripheral nodes
otu332	8	30.5	8.49804774266749e-05	0.00799400118946469	NA	M2	-1.66348180378556	0.21875	Peripheral nodes
otu343	21	0.428571428571429	0.0219671045369246	0	NA	M8	-1.11714630779315	0	Peripheral nodes
otu379	2	7	7.0096219011161e-05	4.71149075834077e-12	NA	M5	-0.980869006649843	0	Peripheral nodes
otu425	157	6143.08968493189	0.000106748119478698	0.130453915620102	NA	M2	-0.772314878271482	0.360258022637835	Peripheral nodes
otu450	16	0	0.00397697749710222	1.35773869950935e-17	NA	M3	-0.363599158222166	0	Peripheral nodes
otu451	16	0	0.00397697749710222	4.07321609852805e-17	NA	M3	-0.363599158222166	0	Peripheral nodes
otu453	4	0	8.79428231945625e-05	2.87419705299135e-13	NA	M1	-0.921998827483799	0	Peripheral nodes
otu509	19	18562.6666666667	8.80270360836785e-05	2.2063253867027e-15	NA	M1	-0.717751478115974	0.0997229916897507	Peripheral nodes
otu519	39	4.33190883190883	9.14268541151016e-05	0.00489154940560114	NA	M4	0.238768985105989	0.40499671268902	Peripheral nodes
otu520	5	0	4.56646915155199e-05	1.69717337438669e-18	NA	M6	-0.7903557949298	0	Peripheral nodes
otu521	11	5170	6.38031172961425e-05	3.39434674877338e-18	NA	M6	0.647155441841474	0	Peripheral nodes
otu523	65	1834.78571428571	0.00010761242728744	4.25367314907984e-11	NA	M1	-0.03206394809542	0	Peripheral nodes
otu541	12	74386	6.61814157767937e-05	6.78869349754676e-18	NA	M6	0.647155441841474	0.152777777777778	Peripheral nodes
otu553	274	622.929983169397	0.000107846566088397	0.529327523177059	NA	M2	0.434309366008644	0.00727263040119341	Peripheral nodes
otu574	11	2	8.70777747794257e-05	2.90590025162489e-14	NA	M1	-0.819875152799886	0	Peripheral nodes
otu576	206	22.5884892086331	9.74457362626117e-05	1.65861359532062e-13	NA	M1	2.02499864196624	0	Peripheral nodes
otu579	16	0	0.00397697749710222	3.39434674877338e-17	NA	M3	-0.363599158222166	0	Peripheral nodes
otu580	16	0	0.00397697749710222	2.03660804926403e-17	NA	M3	-0.363599158222166	0	Peripheral nodes
